customer_id,recency,frequency,monetary,avg_amount,max_amount,n_types,n_weekends,n_large_txns,active_months,pca1,pca2,cluster
CUST0001,59,8,39051.31,4881.41,8439.97,4,2,4,6,-3.6192624337129162,0.12835005847123598,1
CUST0002,10,46,242741.62,5276.99,9982.13,5,6,23,11,2.103961832747928,0.577729704465857,0
CUST0003,35,50,240759.44,4815.19,9853.83,5,18,25,12,3.399016081178349,0.0255911424743141,0
CUST0004,546,5,32041.03,6408.21,9069.97,3,1,4,5,-6.89747598634367,5.4129023737330115,1
CUST0005,6,11,58154.44,5286.77,8663.66,5,3,8,6,-2.2035476541241676,0.08632306564158479,1
CUST0006,89,11,38053.79,3459.44,7480.25,4,0,4,6,-3.960573415968484,-1.623718578760168,1
CUST0007,19,49,246551.01,5031.65,9906.78,5,12,22,12,2.804282223056211,0.1789059843599044,0
CUST0008,129,20,102043.23,5102.16,9623.13,5,9,10,10,-0.8978456010717015,0.3967173081265343,1
CUST0009,58,6,38620.02,6436.67,9402.07,4,2,4,5,-3.7415761547478086,2.285965941594094,1
CUST0010,14,32,169338.48,5291.83,9676.92,5,6,17,12,1.003540492896235,0.24633672082102892,0
CUST0011,2,35,159763.51,4564.67,9903.99,5,10,15,12,1.273368580413802,-0.9117507609926203,0
CUST0012,49,22,114412.58,5200.57,9851.05,5,5,11,11,-0.461035607328818,0.09791933549070468,1
CUST0013,79,10,52482.29,5248.23,9682.01,4,3,5,5,-3.57632748999485,0.8449939842043461,1
CUST0014,5,32,142678.95,4458.72,9750.76,5,6,12,11,0.34389678541925817,-1.0837292998460655,0
CUST0015,38,41,194993.77,4755.95,9638.79,5,13,19,12,2.0187341435517885,-0.27952535229857084,0
CUST0016,74,19,77078.91,4056.78,8560.47,5,4,8,10,-1.4469845264132353,-1.4112952343112173,1
CUST0017,13,45,234094.94,5202.11,9241.36,5,11,24,12,2.6691603092155725,0.42485040586162776,0
CUST0018,52,20,103583.35,5179.17,9156.51,5,6,11,11,-0.5235090329715602,0.06184742271316398,1
CUST0019,14,45,235610.64,5235.79,9457.86,5,12,24,12,2.763083039490718,0.4741704935729519,0
CUST0020,22,13,75513.5,5808.73,9906.85,4,3,7,9,-2.17012345694279,1.1551266455408682,1
CUST0021,29,33,175084.59,5305.59,9972.44,5,10,18,10,1.0422838116061868,0.48742869986991455,0
CUST0022,51,27,117237.16,4342.12,9319.38,5,5,10,11,-0.4165376811980591,-1.0860306540743767,1
CUST0023,2,43,221332.51,5147.27,9869.5,5,9,23,12,2.3427339161487,0.24499307817824034,0
