customer_id,age,income,credit_score,loan_amount,interest_rate,loan_term,debt_to_income,monthly_payment,payment_to_income,employment_years,num_open_accounts,num_late_payments,repayment_status
CUST0001,62,34473.04,581.0,12999.7,6.5,12,0.3771,1121.83,0.3905,21.0,9,0,0
CUST0002,24,23873.64,523.0,12400.38,16.44,60,0.5194,304.46,0.153,6.0,9,3,1
CUST0003,59,56164.79,306.0,38181.56,6.93,48,0.6798,913.07,0.1951,10.0,5,1,1
CUST0004,43,33287.34,689.0,5739.1,21.72,60,0.1724,157.6,0.0568,8.0,1,5,0
CUST0005,29,146505.05,687.0,4861.21,9.8,60,0.0332,102.81,0.0084,28.0,6,4,1
CUST0006,26,25957.17,533.0,38880.35,24.68,24,1.4979,2068.87,0.9564,27.0,2,3,1
CUST0007,62,128434.36,466.0,19138.87,8.0,36,0.149,599.74,0.056,22.0,2,4,0
CUST0008,56,114786.48,467.0,23650.75,9.3,60,0.206,494.4,0.0517,7.0,6,0,1
CUST0009,24,124655.95,710.0,14119.3,8.04,60,0.1133,286.56,0.0276,28.0,6,1,0
CUST0010,47,135008.81,769.0,8000.71,6.5,60,0.0593,156.54,0.0139,17.0,5,5,0
CUST0011,59,,524.0,49868.96,6.47,48,0.6934,1181.95,0.1972,2.0,1,0,1
CUST0012,32,122970.32,732.0,30224.04,11.77,60,0.2458,668.81,0.0653,14.0,9,2,0
CUST0013,22,108436.84,417.0,34403.81,15.04,36,0.3173,1193.29,0.1321,24.0,6,0,1
CUST0014,32,78984.08,569.0,48622.52,19.88,60,0.6156,1284.96,0.1952,29.0,2,5,1
CUST0015,62,85996.17,503.0,8489.12,19.89,60,0.0987,224.39,0.0313,30.0,9,0,0
CUST0016,53,22531.98,671.0,44057.37,21.38,36,1.9553,1668.47,0.8886,7.0,1,1,0
CUST0017,27,31134.95,797.0,40985.14,24.53,60,1.3164,1191.7,0.4593,24.0,3,1,0
CUST0018,57,41466.5,840.0,43749.22,12.6,24,1.055,2071.71,0.5995,29.0,9,5,0
CUST0019,41,71869.0,,22466.9,14.63,12,0.3126,2023.9,0.3379,7.0,4,0,0
CUST0020,59,92009.8,525.0,1352.35,18.72,12,0.0147,124.45,0.0162,7.0,2,0,0
CUST0021,26,86840.3,585.0,33779.91,8.11,24,0.389,1529.47,0.2113,23.0,10,4,0
CUST0022,52,124974.61,494.0,5621.96,17.67,36,0.045,202.32,0.0194,13.0,7,3,0
CUST0023,25,107537.39,400.0,3970.02,19.16,12,0.0369,366.17,0.0409,7.0,4,1,0
CUST0024,30,74844.61,585.0,23668.78,22.3,12,0.3162,2218.68,0.3557,14.0,9,0,1
CUST0025,56,128683.59,395.0,46391.98,21.75,24,0.3605,2401.01,0.2239,13.0,8,3,1
CUST0026,47,137317.57,468.0,19569.68,24.68,36,0.1425,774.78,0.0677,29.0,8,2,1
CUST0027,57,106043.27,798.0,8585.04,9.88,12,0.081,754.28,0.0854,18.0,9,0,0
CUST0028,25,26518.5,788.0,25639.67,21.83,24,0.9669,1327.99,0.6009,1.0,9,0,0
CUST0029,26,97354.56,540.0,20785.0,23.74,60,0.2135,594.81,0.0733,7.0,10,4,1
CUST0030,27,74499.24,835.0,16502.12,9.11,36,0.2215,525.61,0.0847,7.0,5,3,1
