customer_id,product_id,product_name,interaction_type,interaction_date,rating
CUST0001,PROD005,Investment Fund,applied,2024-08-17,2.5
CUST0001,PROD009,Debit Card,purchased,2023-09-07,4.5
CUST0001,PROD004,Home Loan,viewed,2024-08-17,1.5
CUST0001,PROD007,Fixed Deposit,viewed,2023-10-06,1.0
CUST0001,PROD010,Business Loan,applied,2024-08-01,3.5
CUST0001,PROD006,Insurance,purchased,2023-07-11,5.0
CUST0002,PROD007,Fixed Deposit,viewed,2024-01-27,1.0
CUST0002,PROD003,Personal Loan,applied,2023-05-26,2.5
CUST0002,PROD006,Insurance,clicked,2023-10-10,1.5
CUST0002,PROD008,Car Loan,clicked,2023-02-21,2.5
CUST0002,PROD002,Credit Card,viewed,2023-08-24,1.0
CUST0002,PROD001,Savings Account,clicked,2024-12-11,2.5
CUST0002,PROD004,Home Loan,viewed,2024-12-09,1.5
CUST0002,PROD010,Business Loan,clicked,2024-07-19,2.0
CUST0003,PROD007,Fixed Deposit,applied,2023-03-26,3.5
CUST0003,PROD004,Home Loan,applied,2024-06-06,3.0
CUST0003,PROD006,Insurance,purchased,2023-11-12,5.0
CUST0004,PROD008,Car Loan,viewed,2023-09-18,1.0
CUST0004,PROD002,Credit Card,clicked,2024-10-10,1.5
CUST0004,PROD004,Home Loan,applied,2023-06-04,3.5
CUST0004,PROD005,Investment Fund,purchased,2024-04-25,5.0
CUST0004,PROD003,Personal Loan,viewed,2023-08-21,1.5
CUST0005,PROD001,Savings Account,applied,2023-11-15,3.5
CUST0005,PROD008,Car Loan,viewed,2023-10-07,1.0
CUST0005,PROD007,Fixed Deposit,clicked,2023-06-04,2.0
CUST0005,PROD010,Business Loan,clicked,2024-08-20,1.5
CUST0005,PROD005,Investment Fund,applied,2024-10-10,2.5
CUST0005,PROD002,Credit Card,viewed,2023-12-02,1.0
CUST0005,PROD009,Debit Card,viewed,2023-11-09,1.5
CUST0005,PROD003,Personal Loan,clicked,2023-01-01,2.5
CUST0005,PROD004,Home Loan,purchased,2023-11-15,5.0
CUST0006,PROD004,Home Loan,purchased,2023-03-25,5.0
CUST0006,PROD006,Insurance,clicked,2023-03-29,2.5
CUST0006,PROD007,Fixed Deposit,applied,2024-05-27,2.5
CUST0006,PROD002,Credit Card,purchased,2024-05-07,5.0
CUST0006,PROD005,Investment Fund,viewed,2023-06-29,1.5
CUST0006,PROD009,Debit Card,applied,2024-10-10,3.0
CUST0006,PROD008,Car Loan,viewed,2023-01-14,1.0
CUST0007,PROD008,Car Loan,viewed,2023-03-24,1.5
CUST0007,PROD003,Personal Loan,applied,2024-05-06,2.5
CUST0007,PROD005,Investment Fund,applied,2024-10-25,3.0
CUST0008,PROD005,Investment Fund,viewed,2024-02-13,1.0
CUST0008,PROD007,Fixed Deposit,clicked,2023-11-23,2.0
CUST0008,PROD008,Car Loan,viewed,2024-03-13,1.0
CUST0008,PROD003,Personal Loan,applied,2023-04-29,3.0
CUST0008,PROD001,Savings Account,clicked,2024-08-12,2.0
CUST0008,PROD004,Home Loan,applied,2024-12-04,2.5
CUST0009,PROD009,Debit Card,applied,2023-08-05,2.5
CUST0009,PROD003,Personal Loan,clicked,2024-07-16,2.5
CUST0009,PROD001,Savings Account,clicked,2023-10-01,1.5
CUST0009,PROD002,Credit Card,clicked,2023-10-03,2.5
CUST0009,PROD010,Business Loan,viewed,2023-01-20,1.0
CUST0009,PROD005,Investment Fund,viewed,2023-05-02,1.0
