transaction_id,customer_id,transaction_amount,transaction_type,transaction_date,transaction_hour,is_weekend,month,quarter,is_large_txn
TXN000001,CUST0001,5747.87,deposit,2023-04-04,0,0,4,2,1
TXN000002,CUST0001,8439.97,withdrawal,2024-09-17,3,0,9,3,1
TXN000003,CUST0001,3156.68,deposit,2024-11-03,13,1,11,4,0
TXN000004,CUST0001,7441.24,deposit,2023-03-24,7,0,3,1,1
TXN000005,CUST0001,8209.95,deposit,2024-03-27,4,0,3,1,1
TXN000006,CUST0001,337.95,deposit,2023-07-24,2,0,7,3,0
TXN000007,CUST0001,3145.96,investment,2024-03-16,0,1,3,1,0
TXN000008,CUST0001,2571.69,bill_payment,2023-01-05,22,0,1,1,0
TXN000009,CUST0002,5744.28,investment,2023-03-30,9,0,3,1,1
TXN000010,CUST0002,6994.28,transfer,2024-07-29,7,0,7,3,1
TXN000011,CUST0002,7976.51,withdrawal,2024-10-23,16,0,10,4,1
TXN000012,CUST0002,5935.05,bill_payment,2024-04-24,18,0,4,2,1
TXN000013,CUST0002,3452.69,bill_payment,2023-08-07,19,0,8,3,0
TXN000014,CUST0002,9565.93,transfer,2023-09-21,3,0,9,3,1
TXN000015,CUST0002,9593.77,deposit,2024-02-28,23,0,2,1,1
TXN000016,CUST0002,9774.27,withdrawal,2024-06-11,6,0,6,2,1
TXN000017,CUST0002,835.6,investment,2023-11-15,23,0,11,4,0
TXN000018,CUST0002,2585.59,deposit,2023-03-14,1,0,3,1,0
TXN000019,CUST0002,7749.09,transfer,2023-06-07,21,0,6,2,1
TXN000020,CUST0002,2225.57,bill_payment,2024-09-17,5,0,9,3,0
TXN000021,CUST0002,8925.09,bill_payment,2023-03-12,6,1,3,1,1
TXN000022,CUST0002,2567.78,bill_payment,2024-01-04,7,0,1,1,0
TXN000023,CUST0002,4212.56,withdrawal,2023-12-12,1,0,12,4,0
TXN000024,CUST0002,9790.35,transfer,2024-02-20,13,0,2,1,1
TXN000025,CUST0002,4483.57,bill_payment,2023-02-09,18,0,2,1,0
TXN000026,CUST0002,9897.37,withdrawal,2024-07-15,8,0,7,3,1
TXN000027,CUST0002,5038.76,investment,2023-11-03,17,0,11,4,1
TXN000028,CUST0002,3186.02,withdrawal,2023-11-07,7,0,11,4,0
TXN000029,CUST0002,4064.86,transfer,2024-01-27,4,1,1,1,0
TXN000030,CUST0002,3315.17,deposit,2024-07-07,1,1,7,3,0
TXN000031,CUST0002,9270.85,bill_payment,2024-04-01,22,0,4,2,1
TXN000032,CUST0002,3607.46,bill_payment,2023-02-21,19,0,2,1,0
TXN000033,CUST0002,809.82,transfer,2023-12-10,12,1,12,4,0
TXN000034,CUST0002,5650.06,withdrawal,2023-06-13,23,0,6,2,1
TXN000035,CUST0002,349.8,investment,2023-01-10,10,0,1,1,0
TXN000036,CUST0002,434.63,deposit,2023-11-29,20,0,11,4,0
TXN000037,CUST0002,7308.89,transfer,2024-12-17,21,0,12,4,1
TXN000038,CUST0002,8895.94,deposit,2024-09-06,3,0,9,3,1
TXN000039,CUST0002,4632.37,deposit,2023-03-27,16,0,3,1,0
TXN000040,CUST0002,6014.26,deposit,2024-02-02,21,0,2,1,1
TXN000041,CUST0002,3292.05,withdrawal,2023-01-20,9,0,1,1,0
TXN000042,CUST0002,6822.95,bill_payment,2024-12-22,1,1,12,4,1
TXN000043,CUST0002,1690.22,withdrawal,2024-12-04,0,0,12,4,0
TXN000044,CUST0002,3715.78,investment,2024-02-20,7,0,2,1,0
TXN000045,CUST0002,6989.34,transfer,2023-11-19,2,1,11,4,1
TXN000046,CUST0002,9982.13,withdrawal,2024-11-29,2,0,11,4,1
TXN000047,CUST0002,1830.59,withdrawal,2024-11-13,10,0,11,4,0
TXN000048,CUST0002,8720.51,transfer,2024-08-02,1,0,8,3,1
TXN000049,CUST0002,8600.72,withdrawal,2023-01-11,22,0,1,1,1
TXN000050,CUST0002,3201.88,deposit,2023-02-21,10,0,2,1,0
TXN000051,CUST0002,9065.99,withdrawal,2023-08-08,11,0,8,3,1
TXN000052,CUST0002,2603.7,investment,2024-11-01,20,0,11,4,0
TXN000053,CUST0002,329.59,transfer,2024-09-24,9,0,9,3,0
TXN000054,CUST0002,1007.93,bill_payment,2023-02-14,14,0,2,1,0
TXN000055,CUST0003,4642.32,withdrawal,2023-07-15,17,1,7,3,0
